source,target,route,travel_time,n_trips
193,247,D,180,916
194,193,A,120,189
194,193,C,120,673
194,193,E,120,1235
194,195,A,90,185
194,195,C,90,673
194,195,E,90,1235
195,63,A,120,1111
195,63,C,120,673
195,63,E,120,1235
195,193,A,150,922
195,194,A,90,189
195,194,C,90,673
195,194,E,90,1235
196,64,A,180,1111
196,64,C,180,673
196,197,A,120,1111
196,197,C,120,673
197,67,N,90,155
197,67,R,90,926
197,67,W,120,10
197,196,A,120,1111
197,196,C,120,673
197,198,A,90,1111
197,198,C,90,673
197,279,F,90,1179
197,279,FX,90,10
197,280,F,150,1179
197,284,FX,420,10
197,410,N,90,149
197,410,R,90,921
197,410,W,120,15
198,197,A,90,1111
198,197,C,90,673
198,199,A,120,190
198,199,C,120,673
198,202,A,270,921
198,280,G,90,986
198,323,G,90,984
199,198,A,90,189
199,198,C,90,673
199,200,A,90,190
199,200,C,90,673
200,199,A,90,189
200,199,C,90,673
200,201,A,90,190
200,201,C,90,673
201,200,A,90,189
201,200,C,90,673
201,202,A,60,190
201,202,C,60,673
201,422,FS,120,802
202,198,A,300,922
202,201,A,60,189
202,201,C,60,673
202,203,A,120,190
202,203,C,90,673
202,204,A,120,921
203,202,A,90,189
203,202,C,90,673
203,204,A,90,190
203,204,C,90,673
204,202,A,180,922
204,203,A,90,189
204,203,C,90,673
204,205,A,120,190
204,205,C,120,673
204,207,A,180,921
205,204,A,90,189
205,204,C,90,673
205,206,A,90,190
205,206,C,90,673
206,205,A,120,189
206,205,C,90,673
206,207,A,90,190
206,207,C,90,673
207,204,A,180,922
207,206,A,60,189
207,206,C,60,673
207,208,A,120,190
207,208,C,120,673
207,211,A,240,921
207,349,J,90,874
207,349,Z,90,30
207,350,J,90,849
207,350,Z,60,30
207,351,J,150,35
207,366,L,60,1477
207,367,L,60,1457
208,207,A,120,189
208,207,C,120,673
208,209,A,90,190
208,209,C,90,673
209,208,A,90,189
209,208,C,90,673
209,210,A,90,190
209,210,C,90,673
210,209,A,90,189
210,209,C,90,673
210,211,A,90,190
210,211,C,90,673
211,207,A,240,922
211,210,A,90,189
211,210,C,90,673
211,212,A,90,1248
212,211,A,90,1228
212,213,A,90,1248
213,212,A,60,1228
213,214,A,60,1248
214,213,A,60,1228
214,215,A,60,1248
215,214,A,60,1228
215,216,A,90,616
215,325,A,240,632
216,215,A,90,614
216,217,A,90,616
217,216,A,60,614
217,218,A,60,616
218,217,A,60,614
219,159,F,360,1179
219,159,FX,360,10
219,220,F,120,1179
219,220,FX,120,10
220,219,F,120,1179
220,219,FX,120,10
220,221,F,150,1179
220,221,FX,150,10
221,220,F,150,1179
221,220,FX,150,10
221,222,F,150,1179
221,222,FX,150,10
221,222,M,180,240
221,393,M,120,240
221,393,Q,120,1087
221,393,R,120,5
221,403,N,180,30
221,403,Q,180,1062
222,221,F,150,1179
222,221,FX,210,10
222,221,M,180,240
222,246,F,90,1179
222,246,FX,90,10
222,246,M,90,240
223,224,D,120,916
223,414,D,240,916
224,223,D,120,916
224,225,D,90,916
225,224,D,90,916
225,226,D,90,916
226,225,D,90,916
226,227,D,90,916
227,226,D,90,916
227,228,D,120,916
227,386,N,120,896
227,386,Q,120,30
227,386,W,120,10
227,387,N,90,921
227,387,W,90,15
228,227,D,120,916
228,229,D,90,916
229,228,D,90,916
229,230,D,90,916
230,229,D,90,916
230,231,D,90,916
231,230,D,60,916
231,232,D,60,916
232,231,D,60,916
232,233,D,90,916
233,232,D,90,916
233,234,D,120,916
234,233,D,120,916
234,267,D,240,916
235,236,D,120,911
236,235,D,150,901
236,237,B,120,210
236,237,D,90,916
237,236,B,120,165
237,236,D,120,916
237,238,B,120,210
237,238,D,60,916
238,237,B,90,180
238,237,D,90,916
238,239,B,90,210
238,239,D,90,811
238,240,D,150,105
239,238,B,90,165
239,238,D,90,826
239,240,B,90,210
239,240,D,90,811
240,179,D,450,105
240,238,B,210,15
240,238,D,150,90
240,239,B,90,165
240,239,D,90,826
240,241,B,90,210
240,241,D,90,811
241,240,B,90,180
241,240,D,90,826
241,242,B,150,210
241,242,D,150,811
242,241,B,120,180
242,241,D,120,826
242,243,B,120,210
242,243,D,120,811
243,105,B,150,210
243,105,D,150,811
243,242,B,120,180
243,242,D,120,826
244,105,B,90,180
244,105,D,90,826
244,179,B,90,210
244,179,D,90,811
245,23,B,120,515
245,23,D,90,916
245,189,E,90,1235
245,246,B,90,515
245,246,D,90,916
245,275,E,60,1235
246,170,B,90,515
246,170,D,90,916
246,170,F,90,1179
246,170,FX,90,10
246,170,M,90,815
246,222,F,90,1179
246,222,FX,120,10
246,222,M,90,240
246,245,B,90,515
246,245,D,90,916
246,275,M,120,575
247,25,N,90,896
247,25,Q,90,1087
247,25,R,90,786
247,25,W,120,485
247,146,N,150,580
247,146,Q,150,914
247,170,B,90,515
247,170,D,90,916
247,170,F,90,1179
247,170,FX,90,10
247,170,M,90,815
247,193,B,180,515
247,193,D,180,916
247,248,F,90,1179
247,248,FX,120,10
247,248,M,90,815
247,405,N,60,341
247,405,Q,60,148
247,405,R,60,781
247,405,W,60,490
248,30,F,90,1179
248,30,FX,90,10
248,30,M,90,815
248,247,F,90,1179
248,247,FX,120,10
248,247,M,90,815
249,70,D,630,724
249,148,B,120,515
249,148,D,120,916
249,410,B,480,515
249,410,D,480,192
250,70,B,120,515
250,70,Q,120,1057
250,251,B,240,515
250,251,Q,240,1062
251,74,FS,180,802
251,250,B,210,515
251,250,Q,210,1057
251,252,Q,90,1062
251,253,B,120,515
252,251,Q,90,1057
252,253,Q,60,1062
253,251,B,120,515
253,252,Q,90,1057
253,254,Q,90,1062
253,256,B,150,515
254,253,Q,90,1057
254,255,Q,30,1062
255,254,Q,30,1057
255,256,Q,90,1062
256,253,B,150,515
256,255,Q,90,1057
256,257,Q,60,1062
256,260,B,240,515
257,256,Q,60,1057
257,258,Q,60,1062
258,257,Q,60,1057
258,259,Q,90,1062
259,258,Q,90,1057
259,260,Q,120,1062
260,256,B,270,515
260,259,Q,120,1057
260,261,Q,150,1062
260,263,B,240,515
261,260,Q,120,1057
261,262,Q,60,1062
262,261,Q,60,1057
262,263,Q,150,1062
263,260,B,240,515
263,262,Q,120,1057
263,264,B,120,515
263,264,Q,120,1062
264,263,B,120,515
264,263,Q,120,1057
264,265,Q,120,1062
265,264,Q,120,1057
265,266,Q,120,1062
266,265,Q,90,1057
266,267,F,90,984
266,267,FX,90,10
266,267,Q,90,1062
266,297,F,90,979
266,297,FX,90,10
267,234,D,240,916
267,266,F,90,979
267,266,FX,90,10
267,266,Q,90,1057
267,392,N,240,846
267,392,Q,270,25
268,269,F,90,1179
268,269,FX,90,10
268,270,E,150,35
269,268,F,120,1179
269,268,FX,120,10
269,270,F,120,1179
269,270,FX,120,10
270,268,E,180,20
270,269,F,90,1179
270,269,FX,90,10
270,271,F,60,1179
270,271,FX,90,10
270,273,E,210,35
271,270,F,60,1179
271,270,FX,90,10
271,272,F,120,1179
271,272,FX,120,10
272,271,F,60,1179
272,271,FX,90,10
272,273,E,90,565
272,273,F,90,1179
272,273,FX,120,10
272,300,E,90,555
273,270,E,210,20
273,272,E,120,555
273,272,F,120,1179
273,272,FX,120,10
273,274,E,90,565
273,274,F,90,1179
273,274,FX,90,10
273,300,E,180,645
273,301,E,120,670
274,273,E,90,555
274,273,F,90,1179
274,273,FX,90,10
274,301,E,90,565
274,301,F,120,1179
274,301,FX,120,10
275,141,E,90,1235
275,141,M,90,575
275,245,E,90,1235
275,246,M,120,575
276,148,F,90,1179
276,148,FX,90,10
276,277,F,90,1179
276,277,FX,120,10
277,148,M,180,815
277,276,F,90,1179
277,276,FX,90,10
277,278,F,90,1179
277,278,FX,90,10
277,382,J,450,884
277,382,M,450,815
277,382,Z,450,30
277,383,J,90,884
277,383,Z,90,30
278,277,F,60,1179
278,277,FX,90,10
278,279,F,150,1179
278,279,FX,180,10
279,197,F,90,1179
279,197,FX,90,10
279,278,F,150,1179
279,278,FX,240,10
280,197,F,120,1179
280,198,G,90,984
280,281,F,90,1179
280,281,G,90,986
281,280,F,90,1179
281,280,G,90,984
281,282,F,90,1179
281,282,G,90,986
282,281,F,120,1179
282,281,G,120,984
282,283,F,90,1179
282,283,G,90,986
283,282,F,90,1179
283,282,G,90,984
283,284,F,90,1179
283,284,G,90,986
283,411,D,90,193
283,411,N,90,194
283,411,R,90,926
283,411,W,90,10
283,412,D,120,192
283,412,N,120,174
283,412,R,120,921
283,412,W,120,15
284,197,FX,330,10
284,283,F,90,1179
284,283,G,90,984
284,285,F,90,1179
284,285,G,90,986
284,287,FX,240,10
285,284,F,90,1179
285,284,G,90,984
285,286,F,120,1179
285,286,G,120,986
286,285,F,150,1179
286,285,G,150,984
286,287,F,90,1179
286,287,G,90,986
287,284,FX,180,10
287,286,F,90,1179
287,286,G,90,984
287,288,F,120,1174
287,288,FX,120,10
288,287,F,120,1174
288,287,FX,120,10
288,289,F,120,1174
288,289,FX,120,10
289,288,F,90,1174
289,288,FX,120,10
289,290,F,60,1174
289,290,FX,60,10
290,289,F,60,1174
290,289,FX,90,10
290,291,F,60,1174
290,291,FX,60,10
291,290,F,60,1174
291,290,FX,60,10
291,292,F,120,1174
291,292,FX,120,10
292,291,F,90,1174
292,291,FX,90,10
292,293,F,90,1174
292,293,FX,90,10
293,292,F,90,1174
293,292,FX,120,10
293,294,F,90,1174
293,294,FX,90,10
294,293,F,90,1174
294,293,FX,90,10
294,295,F,120,984
294,295,FX,120,10
295,294,F,120,1014
295,294,FX,120,10
295,296,F,120,984
295,296,FX,120,10
296,295,F,90,1014
296,295,FX,120,10
296,297,F,120,984
296,297,FX,120,10
297,266,F,90,984
297,266,FX,90,10
297,296,F,120,979
297,296,FX,150,10
298,299,E,90,1200
298,299,J,60,859
298,299,Z,60,30
299,298,E,120,1200
299,298,J,60,874
299,298,Z,60,30
299,300,E,120,1200
299,338,J,240,824
299,338,Z,240,30
299,339,J,300,35
300,272,E,90,565
300,273,E,180,635
300,299,E,120,1200
301,159,E,420,1080
301,159,F,420,1179
301,159,FX,420,10
301,273,E,150,680
301,274,E,120,555
301,274,F,120,1179
301,274,FX,120,10
301,302,E,90,155
301,302,M,90,575
301,302,R,90,781
302,301,E,90,140
302,301,M,90,575
302,301,R,90,781
302,303,E,120,155
302,303,M,90,575
302,303,R,90,781
303,302,E,120,140
303,302,M,90,575
303,302,R,90,781
303,304,E,60,155
303,304,M,60,575
303,304,R,60,781
304,303,E,60,140
304,303,M,60,575
304,303,R,60,781
304,305,E,120,155
304,305,M,90,575
304,305,R,90,781
305,304,E,120,140
305,304,M,90,575
305,304,R,90,781
305,306,E,90,155
305,306,M,90,575
305,306,R,90,781
306,159,E,90,155
306,159,M,90,575
306,159,R,90,781
306,305,E,90,140
306,305,M,90,575
306,305,R,90,781
307,159,E,90,140
307,159,M,90,575
307,159,R,90,781
307,308,E,90,155
307,308,M,90,575
307,308,R,90,781
308,307,E,60,140
308,307,M,60,575
308,307,R,60,781
308,309,E,90,155
308,309,M,90,575
308,309,R,90,781
309,308,E,90,140
309,308,M,90,575
309,308,R,90,781
309,310,E,90,155
309,310,M,90,575
309,310,R,90,781
310,309,E,90,140
310,309,M,90,575
310,309,R,90,781
310,311,E,120,155
310,311,M,120,575
310,311,R,120,781
311,310,E,120,140
311,310,M,120,575
311,310,R,120,781
311,312,E,120,155
311,312,M,120,575
311,312,R,120,781
312,140,R,330,781
312,159,E,330,1095
312,167,E,90,1235
312,167,M,90,575
312,311,E,120,140
312,311,M,120,575
312,311,R,120,781
313,167,G,60,984
313,314,G,150,986
314,313,G,150,984
314,315,G,60,986
315,314,G,60,984
315,316,G,150,986
316,315,G,150,984
316,317,G,90,986
316,356,L,90,1354
316,357,L,60,1522
317,316,G,60,984
317,318,G,60,986
318,317,G,60,984
318,319,G,60,986
319,318,G,60,984
319,320,G,90,986
320,319,G,90,984
320,321,G,60,986
321,320,G,60,984
321,322,G,90,986
322,321,G,90,984
322,323,G,90,986
323,198,G,90,986
323,322,G,90,984
324,215,A,180,614
325,324,A,30,614
325,326,A,120,632
326,325,A,120,614
326,327,A,390,632
327,326,A,390,614
327,328,A,240,607
327,334,A,240,25
327,334,H,240,576
328,327,A,240,589
328,329,A,90,607
329,328,A,90,589
329,330,A,120,607
330,329,A,120,589
330,331,A,90,607
331,330,A,90,589
331,332,A,120,607
332,331,A,90,589
332,333,A,90,607
333,332,A,90,589
334,327,A,210,25
334,327,H,210,577
334,335,A,90,25
334,335,H,90,576
335,334,A,90,25
335,334,H,90,577
335,336,A,60,25
335,336,H,60,576
336,335,A,90,25
336,335,H,90,577
336,337,A,90,25
336,337,H,90,576
337,336,A,120,25
337,336,H,120,577
338,299,J,240,849
338,299,Z,240,30
338,339,J,90,824
338,340,Z,180,30
339,299,J,300,25
339,338,J,90,849
339,340,J,120,824
339,341,J,180,35
340,338,Z,180,30
340,339,J,120,849
340,341,J,90,824
340,341,Z,90,30
341,339,J,180,25
341,340,J,90,849
341,340,Z,90,30
341,342,J,90,859
341,343,Z,180,30
342,341,J,90,874
342,343,J,90,824
342,344,J,150,35
343,341,Z,180,30
343,342,J,90,849
343,344,J,60,824
343,345,Z,150,30
344,342,J,150,25
344,343,J,60,849
344,345,J,90,859
345,343,Z,150,30
345,344,J,90,874
345,346,J,90,824
345,346,Z,90,30
345,347,J,150,35
346,345,J,120,849
346,345,Z,90,30
346,347,J,60,824
346,348,Z,150,30
347,345,J,150,25
347,346,J,60,849
347,348,J,90,824
347,349,J,150,35
348,346,Z,150,30
348,347,J,90,849
348,349,J,90,824
348,349,Z,60,30
349,207,J,90,859
349,207,Z,90,30
349,347,J,150,25
349,348,J,90,849
349,348,Z,60,30
350,207,J,90,859
350,207,Z,60,30
350,351,J,90,849
350,352,Z,150,30
351,207,J,150,25
351,350,J,90,859
351,352,J,90,849
351,353,J,150,35
352,350,Z,150,30
352,351,J,90,859
352,353,J,90,849
352,378,Z,180,30
353,351,J,150,25
353,352,J,90,859
353,378,J,90,884
354,146,L,60,1354
354,355,L,60,1354
355,354,L,60,1354
355,356,L,240,1354
356,316,L,90,1354
356,355,L,240,1354
357,316,L,60,1522
357,358,L,90,1522
358,357,L,60,1522
358,359,L,60,1522
359,358,L,60,1522
359,360,L,90,1522
360,359,L,90,1522
360,361,L,120,1522
361,360,L,120,1522
361,362,L,90,1522
362,361,L,60,1522
362,363,L,90,1522
363,362,L,90,1522
363,364,L,90,1467
363,375,M,90,959
363,376,M,120,955
364,363,L,90,1477
364,365,L,150,1467
365,364,L,120,1477
365,366,L,90,1467
366,207,L,60,1467
366,365,L,90,1477
367,207,L,90,1477
367,368,L,90,1457
368,88,L,60,1457
368,367,L,90,1477
369,88,L,90,1477
369,370,L,120,1457
370,369,L,120,1477
370,371,L,90,1457
371,370,L,90,1367
372,373,M,120,955
373,372,M,120,959
373,374,M,90,955
374,373,M,90,959
374,375,M,60,955
375,363,M,90,955
375,374,M,60,959
376,363,M,120,959
376,377,M,120,955
377,376,M,90,959
377,378,M,120,955
378,352,Z,180,30
378,353,J,90,884
378,377,M,150,959
378,379,J,90,689
378,379,M,90,815
378,382,J,240,195
378,382,Z,240,30
379,378,J,60,684
379,378,M,60,815
379,380,J,90,689
379,380,M,90,815
380,379,J,90,684
380,379,M,90,815
380,381,J,60,689
380,381,M,60,815
381,380,J,90,684
381,380,M,90,815
381,382,J,60,689
381,382,M,60,815
382,277,J,450,884
382,277,M,450,815
382,277,Z,450,30
382,378,J,240,200
382,378,Z,240,30
382,381,J,60,684
382,381,M,60,815
383,150,J,90,884
383,150,Z,90,30
383,277,J,90,884
383,277,Z,120,30
384,64,J,90,884
384,64,Z,120,30
385,386,N,90,921
385,386,W,90,15
385,417,N,180,896
385,417,Q,180,30
385,417,W,180,10
386,227,N,120,921
386,227,W,120,15
386,385,N,60,896
386,385,Q,60,30
386,385,W,60,10
387,227,N,90,896
387,227,Q,90,30
387,227,W,90,10
387,388,N,90,921
387,388,W,90,15
388,387,N,60,896
388,387,Q,60,30
388,387,W,60,10
388,389,N,90,921
388,389,W,90,15
389,388,N,90,896
389,388,Q,90,30
389,388,W,90,10
389,390,N,120,921
389,390,W,120,15
390,389,N,120,896
390,389,Q,120,30
390,389,W,120,10
390,391,N,120,921
390,391,W,120,15
391,390,N,90,896
391,390,Q,90,30
391,390,W,90,10
391,392,N,60,921
391,392,W,60,15
392,267,N,240,911
392,391,N,60,896
392,391,Q,60,30
392,391,W,60,10
393,221,M,120,240
393,221,N,120,30
393,221,Q,120,1062
393,394,M,90,240
393,394,Q,90,1087
393,394,R,150,5
394,393,M,120,240
394,393,N,120,30
394,393,Q,120,1062
394,395,M,90,240
394,395,Q,90,1087
394,395,R,120,5
395,394,M,120,240
395,394,N,120,30
395,394,Q,120,1062
396,397,N,90,891
396,397,W,90,490
397,396,N,90,896
397,396,W,120,485
397,398,N,60,891
397,398,W,90,490
398,397,N,60,896
398,397,W,60,485
398,399,N,90,891
398,399,W,90,490
399,398,N,90,896
399,398,W,120,485
399,400,N,120,891
399,400,W,120,490
400,399,N,90,896
400,399,W,90,485
400,401,N,60,891
400,401,W,60,490
401,166,N,120,891
401,166,W,150,490
401,400,N,60,896
401,400,W,90,485
402,140,N,90,896
402,140,R,90,781
402,140,W,90,485
402,403,N,150,891
402,403,R,150,781
402,403,W,150,490
403,25,N,180,30
403,25,Q,150,914
403,221,Q,150,1087
403,221,R,150,5
403,402,N,150,896
403,402,R,150,781
403,402,W,150,485
403,404,N,90,891
403,404,Q,90,148
403,404,R,90,781
403,404,W,90,490
404,25,N,90,891
404,25,Q,90,148
404,25,R,90,781
404,25,W,90,490
404,403,N,90,896
404,403,Q,120,145
404,403,R,90,786
404,403,W,120,485
405,247,N,60,351
405,247,Q,60,145
405,247,R,60,786
405,247,W,60,485
405,406,N,60,341
405,406,Q,60,148
405,406,R,60,781
405,406,W,90,490
406,146,N,90,341
406,146,Q,90,148
406,146,R,90,781
406,146,W,90,490
406,405,N,60,351
406,405,Q,60,145
406,405,R,60,786
406,405,W,60,485
407,146,N,90,351
407,146,Q,90,145
407,146,R,90,786
407,146,W,90,485
407,408,N,90,341
407,408,Q,90,148
407,408,R,90,781
407,408,W,120,490
408,150,N,90,341
408,150,Q,120,148
408,150,R,90,781
408,150,W,90,490
408,407,N,90,351
408,407,Q,90,145
408,407,R,90,786
408,407,W,120,485
409,63,N,120,149
409,63,R,120,781
409,63,W,120,490
409,150,N,150,155
409,150,R,150,786
409,150,W,150,485
410,70,B,90,515
410,70,D,180,192
410,70,N,180,174
410,70,Q,90,1062
410,70,R,180,921
410,70,W,210,15
410,150,N,480,9
410,150,Q,480,1057
410,197,N,90,155
410,197,R,90,926
410,197,W,90,10
410,249,B,480,515
410,249,D,480,193
411,70,D,120,193
411,70,N,120,194
411,70,R,120,926
411,70,W,120,10
411,283,D,90,192
411,283,N,90,174
411,283,R,90,921
411,283,W,90,15
412,283,D,120,193
412,283,N,120,194
412,283,R,90,926
412,283,W,90,10
412,413,D,90,192
412,413,N,90,174
412,413,R,90,921
412,413,W,90,15
413,412,D,90,193
413,412,N,90,194
413,412,R,90,926
413,412,W,90,10
413,414,D,90,192
413,414,N,90,174
413,414,R,90,921
413,414,W,90,15
414,70,D,300,723
414,70,N,300,702
414,70,Q,330,30
414,223,D,240,916
414,413,D,90,193
414,413,N,90,194
414,413,R,90,926
414,413,W,90,10
414,415,N,120,921
414,415,R,120,931
414,415,W,120,15
415,414,N,150,896
415,414,Q,150,30
415,414,R,150,911
415,414,W,150,10
415,416,N,90,921
415,416,R,90,931
415,416,W,90,15
416,415,N,90,896
416,415,Q,90,30
416,415,R,90,911
416,415,W,90,10
416,417,N,90,921
416,417,R,90,931
416,417,W,90,15
417,385,N,180,921
417,385,W,180,15
417,416,N,90,896
417,416,Q,90,30
417,416,R,90,911
417,416,W,90,10
417,418,R,120,921
418,417,R,120,911
418,419,R,60,921
419,418,R,90,911
419,420,R,120,921
420,419,R,120,911
420,421,R,120,921
421,420,R,90,911
422,74,FS,90,802
422,201,FS,120,802
423,424,SI,180,411
424,423,SI,180,416
424,425,SI,120,411
425,424,SI,120,416
425,426,SI,120,411
426,425,SI,120,416
426,427,SI,120,411
427,426,SI,120,416
427,428,SI,120,411
428,427,SI,120,416
428,429,SI,120,431
429,428,SI,120,416
429,430,SI,120,431
430,429,SI,120,416
430,431,SI,120,431
431,430,SI,120,416
431,432,SI,120,451
432,431,SI,120,391
432,433,SI,120,451
433,432,SI,120,391
433,434,SI,120,451
434,433,SI,120,391
434,435,SI,120,406
434,443,SI,780,45
435,434,SI,120,391
435,436,SI,60,406
436,435,SI,60,391
436,437,SI,120,406
437,436,SI,120,391
437,438,SI,120,406
438,437,SI,120,391
438,439,SI,120,406
439,438,SI,120,391
439,440,SI,180,406
440,439,SI,180,391
440,441,SI,120,406
441,440,SI,120,391
441,442,SI,120,406
442,441,SI,120,391
442,443,SI,180,406
443,431,SI,960,95
443,442,SI,180,391
